detector,x_m,y_m,bearing_deg
1,-391.4951667914448,657.2427501871672,304.69006752597977
2,-765.8398948561248,7.5599924897232,356.9143832200251
3,-505.04076400856536,-655.0407640085654,46.0
4,763.7384880265759,-580.9907904212606,142.34019174590992
5,941.5092254975483,30.95538413614075,186.1944289077348
6,764.0,463.0,217.86989764584402
7,935.2233587073176,257.8181289931018,200.0
8,-218.31812899310182,795.7233587073176,290.0
9,-689.9228634059947,-500.0000000000001,30.0
10,868.9228634059946,-500.0000000000004,150.0
